cluster_id	group
0	mua
1	good
4	good
15	mua
24	mua
29	good
39	good
46	mua
47	good
63	mua
83	noise
90	mua
104	mua
112	good
114	mua
121	mua
123	good
126	noise
132	noise
134	mua
138	mua
141	noise
151	mua
159	mua
162	good
175	noise
176	noise
186	noise
197	mua
212	noise
220	noise
221	mua
231	mua
265	mua
272	mua
279	mua
290	mua
302	mua
308	mua
325	mua
332	good
338	mua
341	noise
343	noise
371	mua
380	noise
387	mua
388	good
389	mua
390	mua
391	noise
394	mua
395	noise
402	good
403	mua
405	mua
408	mua
413	good
415	mua
416	good
419	mua
420	noise
421	good
427	noise
428	mua
430	good
434	mua
435	mua
436	noise
438	mua
439	good
441	mua
442	mua
444	mua
445	good
451	noise
453	mua
454	good
457	good
460	mua
464	mua
465	mua
473	mua
481	good
482	good
483	mua
484	good
501	mua
502	noise
504	noise
505	good
507	mua
510	good
511	mua
512	noise
513	mua
514	mua
515	mua
519	mua
521	mua
523	mua
526	good
528	mua
529	mua
530	mua
533	good
534	good
535	mua
537	mua
539	good
540	noise
546	mua
548	good
549	mua
556	mua
558	mua
560	mua
561	mua
567	good
568	good
571	good
577	noise
580	mua
583	mua
584	mua
585	mua
589	mua
593	mua
594	noise
595	mua
601	mua
602	good
609	good
610	mua
611	mua
613	good
617	noise
618	good
619	mua
623	mua
624	noise
629	mua
630	noise
631	mua
