cluster_id	group
2	good
10	good
15	good
17	good
27	good
32	mua
42	mua
56	noise
74	noise
75	mua
78	good
80	mua
85	good
113	mua
126	mua
150	mua
167	noise
179	good
188	noise
199	mua
220	mua
240	noise
243	noise
256	good
257	mua
266	noise
305	noise
316	noise
319	mua
324	mua
328	noise
333	mua
336	noise
347	noise
352	good
368	mua
377	noise
384	noise
387	mua
390	noise
392	mua
393	noise
395	good
400	noise
403	good
404	mua
406	mua
407	mua
408	good
412	good
415	noise
416	mua
421	mua
422	noise
426	good
427	mua
428	mua
430	mua
436	noise
454	good
464	good
465	mua
479	good
480	good
484	noise
489	mua
490	mua
492	mua
493	mua
494	mua
502	mua
506	mua
510	mua
513	noise
517	mua
518	noise
519	mua
525	mua
526	noise
534	good
541	good
543	mua
544	mua
546	noise
547	good
548	noise
549	mua
558	good
562	mua
564	noise
565	mua
570	good
571	mua
573	mua
576	mua
596	good
598	mua
607	good
608	mua
609	noise
610	mua
612	mua
613	good
667	good
683	good
684	good
687	mua
690	mua
691	mua
701	good
702	mua
704	noise
708	mua
711	good
712	mua
720	mua
723	good
724	mua
725	mua
726	mua
728	good
729	mua
731	good
739	noise
743	mua
744	good
757	noise
759	mua
760	noise
761	good
762	good
766	noise
772	good
773	good
774	good
776	mua
779	good
782	good
783	noise
786	mua
788	mua
794	noise
797	mua
804	good
805	mua
806	mua
812	good
815	good
818	noise
824	good
825	mua
826	noise
827	noise
830	noise
833	mua
836	good
841	good
842	good
843	good
852	good
854	mua
855	mua
857	mua
858	good
859	good
860	mua
