cluster_id	group
2	good
14	good
18	mua
59	mua
75	noise
120	good
144	mua
145	mua
150	noise
155	mua
162	noise
171	mua
174	mua
184	noise
185	mua
193	mua
211	mua
232	mua
234	mua
244	mua
249	noise
256	mua
262	mua
282	mua
312	mua
313	mua
319	mua
320	mua
325	mua
326	mua
331	mua
332	mua
340	mua
342	mua
364	noise
375	mua
382	noise
384	mua
385	mua
389	mua
391	good
392	mua
395	good
397	mua
398	mua
404	mua
405	mua
407	mua
408	mua
412	mua
422	good
424	mua
429	noise
433	mua
440	mua
445	mua
446	good
450	mua
452	mua
453	mua
456	good
458	mua
462	mua
463	mua
477	good
481	noise
484	mua
486	noise
488	mua
489	good
490	mua
493	noise
497	mua
501	mua
505	mua
519	good
520	good
522	mua
534	mua
547	mua
549	mua
563	mua
565	noise
566	good
568	mua
570	mua
573	mua
576	mua
588	mua
589	good
590	mua
597	noise
621	mua
622	mua
626	mua
627	noise
633	good
635	mua
637	good
638	mua
642	good
650	noise
658	mua
937	good
960	mua
966	noise
987	mua
989	mua
993	good
994	mua
999	mua
1006	good
1008	mua
1020	good
1021	mua
1024	noise
1033	mua
1036	mua
1038	mua
1046	good
1047	mua
1056	noise
1063	good
1066	mua
1079	noise
1084	mua
1085	noise
1089	mua
1112	good
1115	mua
1116	mua
1144	good
1145	mua
1152	good
1153	mua
1162	good
1163	mua
1164	noise
1165	mua
1167	mua
1170	mua
1171	noise
1173	mua
1174	mua
1175	good
1182	good
1184	mua
1185	noise
1194	good
1195	mua
1201	good
1202	mua
1215	good
1217	mua
1222	mua
1223	good
1224	mua
